ApplicantID,Gender,Age,MonthlyIncome,LoanAmount,CreditScore,EmploymentStatus,ExistingLoans,LoanTerm,PropertyArea,LoanApproved
LP001150,Male,43,6330.0,105800.0,613.0,Employed,2,60,Rural,1
LP001151,Female,44,11460.0,230100.0,562.0,Employed,0,120,Semi-Urban,0
LP001152,Male,50,11230.0,366700.0,551.0,Self-Employed,4,360,Rural,0
LP001153,Male,42,10650.0,147300.0,783.0,Employed,2,240,Semi-Urban,1
LP001154,Male,35,13830.0,237000.0,591.0,Self-Employed,2,240,Rural,1
LP001155,Female,45,4070.0,54100.0,672.0,Employed,0,120,Semi-Urban,1
LP001156,Male,58,7550.0,82000.0,786.0,Employed,0,36,Rural,1
LP001157,Female,36,1890.0,22600.0,640.0,Self-Employed,0,120,Urban,1
LP001158,Female,27,3720.0,68300.0,667.0,Employed,0,120,Urban,1
LP001159,Male,50,11680.0,339100.0,704.0,Employed,2,120,Semi-Urban,1
LP001160,Female,36,4820.0,56700.0,808.0,Self-Employed,0,60,Rural,1
LP001161,Male,21,1940.0,37600.0,631.0,Employed,0,180,Semi-Urban,1
LP001162,Male,47,,414800.0,784.0,Employed,0,120,Urban,1
LP001163,Male,32,7400.0,315000.0,658.0,Employed,0,360,Semi-Urban,1
LP001164,Male,37,10780.0,231500.0,613.0,,0,60,Semi-Urban,1
LP001165,Male,41,3180.0,55700.0,663.0,Self-Employed,2,180,Urban,1
LP001166,Female,40,7700.0,94900.0,593.0,Self-Employed,1,12,Semi-Urban,0
LP001167,Male,45,6260.0,185600.0,715.0,Employed,0,180,Rural,1
LP001168,Male,33,3550.0,36600.0,850.0,Self-Employed,0,36,Rural,1
LP001169,Male,43,5600.0,155500.0,762.0,Self-Employed,0,360,Urban,1
LP001170,Male,35,2210.0,33000.0,672.0,Self-Employed,0,360,Urban,1
LP001171,Female,46,4490.0,54200.0,,Employed,1,180,Urban,1
LP001172,Male,44,12480.0,129100.0,610.0,Self-Employed,1,60,Urban,0
LP001173,Male,27,3740.0,117300.0,622.0,Self-Employed,1,180,Urban,1
LP001174,Male,49,15510.0,361900.0,674.0,Employed,1,360,Semi-Urban,1
LP001175,Male,32,2470.0,24500.0,686.0,Employed,0,60,Urban,1
LP001176,Male,46,5260.0,115600.0,513.0,Self-Employed,3,180,Rural,0
LP001177,Female,42,3790.0,128400.0,622.0,Employed,2,360,Rural,0
LP001178,Male,58,800.0,34600.0,499.0,Unemployed,3,360,Urban,0
LP001179,Female,35,2190.0,36900.0,795.0,Self-Employed,0,360,Rural,1
LP001180,Male,34,4810.0,98600.0,512.0,Employed,3,360,Semi-Urban,1
LP001181,Male,37,4880.0,203200.0,541.0,Employed,2,360,Semi-Urban,1
LP001182,Male,34,7310.0,171700.0,658.0,Employed,2,180,Urban,0
LP001183,Female,46,800.0,10900.0,666.0,Unemployed,0,180,Semi-Urban,1
LP001184,Female,21,7790.0,298200.0,721.0,Employed,1,360,Urban,1
LP001185,Male,26,6740.0,141900.0,632.0,Self-Employed,3,240,Semi-Urban,1
LP001186,Female,26,5980.0,152200.0,658.0,Employed,1,360,Urban,1
LP001187,Female,48,3190.0,31300.0,730.0,Employed,1,12,Semi-Urban,0
LP001188,Male,56,5220.0,171800.0,672.0,Employed,3,180,Urban,0
LP001189,Male,36,10120.0,127400.0,660.0,Employed,0,120,Urban,1
LP001190,Male,36,2190.0,49800.0,508.0,Unemployed,1,120,Semi-Urban,0
LP001191,Male,38,4090.0,113200.0,609.0,Employed,1,120,Semi-Urban,1
LP001192,Female,50,6120.0,181300.0,675.0,Employed,3,240,Semi-Urban,1
LP001193,Female,27,7060.0,84500.0,564.0,Employed,0,60,Urban,1
LP001194,Male,40,2080.0,84000.0,805.0,Employed,1,240,Rural,1
LP001195,Male,48,4040.0,119300.0,645.0,Employed,1,240,Semi-Urban,1
LP001196,Male,43,5280.0,109400.0,668.0,Self-Employed,2,120,Urban,1
LP001197,Female,40,6250.0,117600.0,732.0,Employed,1,120,Semi-Urban,1
LP001198,Female,49,10470.0,288600.0,558.0,Employed,3,240,Semi-Urban,1
LP001199,Female,21,3550.0,109100.0,575.0,Employed,3,360,Urban,0
LP001200,Female,45,800.0,29100.0,589.0,Unemployed,0,360,Semi-Urban,0
LP001201,Male,30,4130.0,63700.0,615.0,Employed,0,360,Rural,1
LP001202,Male,21,8970.0,345500.0,599.0,Employed,0,360,Semi-Urban,1
LP001203,Male,43,3950.0,103900.0,606.0,Self-Employed,0,180,Urban,1
LP001204,Female,53,6900.0,100900.0,770.0,Employed,1,360,Rural,1
LP001205,Male,36,4590.0,85200.0,639.0,Employed,3,360,Urban,1
LP001206,Male,48,3610.0,75200.0,585.0,Employed,2,360,Rural,0
LP001207,Male,55,5010.0,30100.0,745.0,Self-Employed,0,12,Urban,1
LP001208,Female,52,6540.0,136600.0,624.0,Employed,0,360,Semi-Urban,1
LP001209,Male,56,11970.0,225700.0,533.0,Self-Employed,1,180,Semi-Urban,0
LP001210,Male,46,4730.0,178800.0,732.0,Employed,1,360,Urban,1
LP001211,Male,38,2800.0,59000.0,,Employed,0,60,Semi-Urban,1
LP001212,Female,21,9410.0,340400.0,,Employed,2,180,Semi-Urban,1
LP001213,Female,35,3310.0,100000.0,468.0,Employed,3,120,Urban,0
LP001214,Male,28,7570.0,158500.0,678.0,Self-Employed,0,120,Semi-Urban,1
LP001215,Female,61,5360.0,95900.0,624.0,Employed,2,60,Semi-Urban,1
LP001216,Male,36,4980.0,156600.0,708.0,Employed,0,360,Urban,1
LP001217,Male,39,4160.0,48500.0,616.0,Employed,1,12,Rural,1
LP001218,Female,44,1320.0,37000.0,554.0,Unemployed,1,120,Rural,0
LP001219,Male,38,1810.0,25100.0,573.0,Employed,0,60,Urban,1
LP001220,Female,56,1740.0,41400.0,526.0,Unemployed,3,180,Semi-Urban,0
LP001221,Female,31,5530.0,114800.0,576.0,Employed,1,120,Urban,1
LP001222,Male,40,6800.0,190600.0,712.0,Employed,1,120,Semi-Urban,1
LP001223,Male,29,6600.0,116900.0,623.0,Employed,0,180,Rural,1
LP001224,Male,23,10950.0,316800.0,444.0,Employed,0,240,Urban,0
LP001225,Male,31,6060.0,131100.0,739.0,Employed,0,60,Rural,1
LP001226,Male,37,3440.0,77200.0,717.0,Employed,1,60,Semi-Urban,1
LP001227,Female,33,1040.0,14600.0,681.0,Unemployed,1,120,Urban,0
LP001228,Male,30,2050.0,82400.0,523.0,Self-Employed,0,360,Rural,1
LP001229,Female,22,1780.0,45000.0,630.0,Self-Employed,1,180,Semi-Urban,1
LP001230,Male,37,4670.0,156100.0,689.0,Employed,1,180,Semi-Urban,1
LP001231,Female,21,5300.0,130500.0,722.0,Employed,1,120,Semi-Urban,1
LP001232,Male,46,5780.0,196600.0,570.0,Employed,1,180,Urban,1
LP001233,Male,38,6590.0,48300.0,642.0,Self-Employed,3,36,Urban,0
LP001234,Male,21,800.0,6300.0,537.0,Unemployed,1,36,Rural,0
LP001235,Male,34,3260.0,49500.0,540.0,Employed,1,180,Semi-Urban,1
LP001236,Female,29,4770.0,110200.0,623.0,Employed,0,180,Rural,1
LP001237,Male,41,4540.0,45600.0,718.0,Employed,0,60,Urban,1
LP001238,Male,52,1430.0,19000.0,544.0,Employed,0,240,Semi-Urban,1
LP001239,Male,21,,97700.0,727.0,Employed,1,360,Rural,0
LP001240,Male,39,7730.0,285800.0,701.0,Employed,0,180,Urban,1
LP001241,Female,36,11080.0,175600.0,660.0,Self-Employed,0,240,Urban,0
LP001242,Female,45,1980.0,37300.0,522.0,Employed,2,360,Semi-Urban,0
LP001243,Female,40,3470.0,59400.0,563.0,Employed,0,360,Urban,1
LP001244,Male,29,1040.0,16500.0,550.0,Unemployed,0,180,Urban,0
LP001245,Male,34,2970.0,124200.0,595.0,Employed,0,240,Rural,1
LP001246,Female,29,5230.0,120900.0,619.0,Employed,2,60,Rural,1
LP001247,Male,49,6890.0,233600.0,747.0,Employed,0,180,Semi-Urban,1
LP001248,Female,38,8160.0,222600.0,659.0,Employed,1,120,Semi-Urban,1
LP001249,Female,58,22350.0,444400.0,657.0,Employed,1,60,Rural,1
LP001250,Female,37,1310.0,31700.0,657.0,Self-Employed,1,180,Semi-Urban,1
LP001251,Male,30,7590.0,188100.0,756.0,Employed,1,60,Urban,1
LP001252,Male,21,4000.0,90500.0,742.0,Employed,2,240,Urban,1
LP001253,Female,21,4190.0,140200.0,711.0,Self-Employed,0,180,Urban,1
LP001254,Male,21,3860.0,51100.0,690.0,Employed,0,180,Urban,1
LP001255,Male,40,3340.0,33100.0,697.0,Self-Employed,0,60,Urban,1
LP001256,Male,43,20520.0,285300.0,787.0,Self-Employed,0,60,Urban,1
LP001257,Female,21,8630.0,214500.0,715.0,Employed,0,180,Urban,1
LP001258,Female,47,6410.0,118400.0,794.0,Self-Employed,0,360,Urban,1
LP001259,Male,32,11420.0,132800.0,648.0,Employed,1,60,Semi-Urban,1
LP001260,Male,39,800.0,28000.0,479.0,Unemployed,1,120,Urban,0
LP001261,Male,55,2360.0,110400.0,629.0,Employed,0,360,Rural,1
LP001262,Female,47,2150.0,24200.0,537.0,Unemployed,1,36,Urban,0
LP001263,Male,35,2490.0,60300.0,800.0,Self-Employed,0,360,Rural,1
LP001264,Male,28,1640.0,40500.0,735.0,Employed,0,180,Rural,1
LP001265,Female,21,3700.0,76700.0,632.0,Employed,1,180,Semi-Urban,1
LP001266,Female,30,890.0,22000.0,640.0,Unemployed,0,120,Semi-Urban,0
LP001267,Female,35,7070.0,151100.0,670.0,Self-Employed,0,120,Rural,1
LP001268,Female,27,9900.0,213300.0,802.0,Employed,0,120,Urban,1
LP001269,Male,36,2250.0,107600.0,584.0,Self-Employed,3,360,Rural,0
LP001270,Male,38,6980.0,89400.0,564.0,Employed,1,240,Semi-Urban,1
LP001271,Female,35,4730.0,115200.0,665.0,Employed,0,240,Semi-Urban,0
LP001272,Female,30,3840.0,148900.0,620.0,Employed,2,360,Urban,1
LP001273,Female,39,6050.0,76600.0,579.0,Employed,1,120,Semi-Urban,1
LP001274,Female,42,6590.0,136600.0,723.0,Self-Employed,1,240,Semi-Urban,1
LP001275,Male,26,3470.0,117600.0,751.0,Employed,2,180,Semi-Urban,1
LP001276,Male,53,3460.0,68300.0,595.0,Self-Employed,0,360,Semi-Urban,1
LP001277,Female,36,2290.0,53500.0,752.0,Employed,0,120,Urban,1
LP001278,Male,38,6430.0,270400.0,634.0,Employed,1,240,Urban,1
LP001279,Female,45,2730.0,85700.0,678.0,Employed,1,360,Semi-Urban,1
LP001280,Female,40,5440.0,106000.0,670.0,Employed,1,180,Urban,1
LP001281,Female,48,7520.0,94500.0,678.0,Employed,1,36,Urban,1
LP001282,Male,41,6090.0,74300.0,645.0,Employed,3,180,Urban,1
LP001283,Male,31,3650.0,54400.0,533.0,Employed,3,120,Urban,0
LP001284,Male,41,8950.0,263000.0,741.0,Employed,2,240,Semi-Urban,1
LP001285,Male,25,4340.0,108300.0,682.0,Employed,2,360,Urban,1
LP001286,Male,39,2610.0,80600.0,672.0,Employed,3,180,Rural,1
LP001287,Male,37,5170.0,,621.0,Self-Employed,0,180,Semi-Urban,1
LP001288,Male,35,820.0,19800.0,496.0,Unemployed,0,240,Semi-Urban,0
LP001289,Male,36,3570.0,79100.0,768.0,Employed,1,60,Urban,1
LP001290,Male,21,8790.0,314300.0,558.0,Employed,2,120,Semi-Urban,1
LP001291,Male,31,3680.0,86300.0,691.0,Employed,1,360,Semi-Urban,1
LP001292,Male,39,1050.0,26300.0,,Unemployed,1,240,Rural,0
LP001293,Female,39,7740.0,61300.0,670.0,Employed,0,12,Semi-Urban,0
LP001294,Male,26,7910.0,225900.0,767.0,Employed,0,120,Semi-Urban,1
LP001295,Male,51,5270.0,90800.0,659.0,Employed,1,240,Rural,1
LP001296,Male,28,3170.0,100100.0,584.0,Employed,0,360,Urban,0
LP001297,Female,48,4370.0,189200.0,708.0,Employed,0,360,Urban,1
LP001298,Male,42,800.0,19500.0,694.0,Self-Employed,0,120,Semi-Urban,1
LP001299,Male,30,8330.0,157000.0,850.0,Employed,0,360,Urban,1
LP001300,Male,57,4940.0,156400.0,609.0,Employed,1,180,Urban,1
LP001301,Male,24,1450.0,41700.0,661.0,Employed,0,240,Semi-Urban,1
LP001302,Male,48,2440.0,34100.0,625.0,Employed,1,180,Urban,1
LP001303,Male,49,840.0,19900.0,569.0,Unemployed,0,60,Semi-Urban,1
LP001304,Male,30,4310.0,140400.0,631.0,Employed,2,360,Rural,1
LP001305,Female,53,6800.0,201800.0,,Self-Employed,0,60,Urban,1
LP001306,Female,35,4490.0,64200.0,715.0,Employed,1,120,Urban,1
LP001307,Male,41,7930.0,195900.0,663.0,Employed,1,360,Urban,1
LP001308,Male,40,1950.0,49900.0,680.0,Unemployed,0,240,Urban,0
LP001309,Female,36,3880.0,68400.0,596.0,Employed,2,360,Urban,1
LP001310,Male,46,1020.0,20700.0,819.0,Self-Employed,1,180,Urban,1
LP001311,Male,46,4070.0,93100.0,700.0,Employed,0,180,Semi-Urban,1
LP001312,Male,21,3870.0,161800.0,775.0,Self-Employed,0,360,Urban,1
LP001313,Male,52,3210.0,,618.0,Employed,3,36,Semi-Urban,0
LP001314,Female,21,4320.0,100300.0,586.0,Employed,2,360,Rural,1
LP001315,Female,49,2870.0,49700.0,660.0,Self-Employed,0,120,Rural,1
LP001316,Female,50,2050.0,73000.0,475.0,Unemployed,0,360,Semi-Urban,0
LP001317,Male,25,1550.0,30400.0,536.0,Unemployed,2,60,Urban,0
LP001318,Male,33,10160.0,270400.0,692.0,Self-Employed,1,180,Semi-Urban,1
LP001319,Male,25,5730.0,98800.0,648.0,Self-Employed,2,360,Urban,1
LP001320,Male,35,16310.0,326700.0,779.0,Employed,0,180,Urban,1
LP001321,Male,34,10170.0,231600.0,668.0,Employed,1,240,Rural,1
LP001322,Female,46,5140.0,207600.0,537.0,Employed,0,360,Urban,1
LP001323,Female,52,4170.0,131400.0,850.0,Employed,0,240,Urban,1
LP001324,Male,53,11340.0,333100.0,,Employed,1,360,Rural,1
LP001325,Female,31,9450.0,159600.0,682.0,Employed,4,180,Rural,1
LP001326,Female,35,2500.0,38000.0,,Employed,0,60,Urban,1
LP001327,Male,21,13500.0,246300.0,698.0,Self-Employed,1,36,Urban,0
LP001328,Male,29,4990.0,54000.0,620.0,Employed,1,120,Semi-Urban,1
LP001329,Male,48,3380.0,43800.0,468.0,Employed,1,60,Semi-Urban,1
LP001330,Male,55,1830.0,26200.0,623.0,Employed,2,180,Urban,1
LP001331,Male,24,5230.0,143800.0,641.0,Self-Employed,2,60,Semi-Urban,0
LP001332,Female,31,6260.0,43700.0,663.0,Self-Employed,0,36,Rural,1
LP001333,Male,37,13000.0,223400.0,628.0,Employed,5,36,Urban,0
LP001334,Male,41,,398600.0,624.0,Employed,2,360,Rural,1
LP001335,Male,29,3940.0,88900.0,650.0,Employed,2,180,Rural,1
LP001336,Male,42,6730.0,238600.0,692.0,Employed,1,180,Urban,1
LP001337,Female,32,8560.0,286500.0,642.0,Employed,2,360,Semi-Urban,1
LP001338,Female,37,5690.0,66100.0,667.0,Employed,0,36,Urban,1
LP001339,Male,44,3930.0,163700.0,612.0,Employed,0,360,Semi-Urban,1
LP001340,Male,38,4050.0,130400.0,689.0,Employed,2,240,Rural,1
LP001341,Male,33,890.0,9000.0,558.0,Unemployed,0,60,Urban,0
LP001342,Male,36,2000.0,46000.0,552.0,Unemployed,0,240,Semi-Urban,0
